well,minutes,OD600,offset
A1,60,0.09,0
A10,480,0.439,0
A11,540,0.429,0
A12,600,0.432,0
A2,60,0.09,0
A3,120,0.094,0
A4,120,0.097,0
A5,180,0.126,0
A6,240,0.205,0
A7,300,0.31,0
A8,360,0.384,0
A9,420,0.412,0
B1,60,0.088,0
B10,480,0.441,0
B11,540,0.409,0
B12,600,0.388,0
B2,60,0.089,0
B3,120,0.098,0
B4,120,0.096,0
B5,180,0.132,0
B6,240,0.192,0
B7,300,0.307,0
B8,360,0.392,0
B9,420,0.442,0
C1,45,0.087,15
C10,465,0.458,15
C11,525,0.415,15
C12,585,0.388,15
C2,45,0.086,15
C3,105,0.095,15
C4,105,0.093,15
C5,165,0.121,15
C6,225,0.183,15
C7,285,0.314,15
C8,345,0.415,15
C9,405,0.443,15
D1,45,0.09,15
D10,465,0.457,15
D11,525,0.433,15
D12,585,0.402,15
D2,45,0.088,15
D3,105,0.093,15
D4,105,0.095,15
D5,165,0.122,15
D6,225,0.197,15
D7,285,0.346,15
D8,345,0.417,15
D9,405,0.445,15
E1,30,0.086,30
E10,450,0.473,30
E11,510,0.493,30
E12,570,0.408,30
E2,30,0.087,30
E3,90,0.09,30
E4,90,0.09,30
E5,150,0.102,30
E6,210,0.193,30
E7,270,0.325,30
E8,330,0.41,30
E9,390,0.448,30
F1,30,0.087,30
F10,450,0.467,30
F11,510,0.497,30
F12,570,0.437,30
F2,30,0.087,30
F3,90,0.091,30
F4,90,0.09,30
F5,150,0.107,30
F6,210,0.178,30
F7,270,0.295,30
F8,330,0.391,30
F9,390,0.455,30
G1,15,0.086,45
G10,435,0.459,45
G11,495,0.499,45
G12,555,0.422,45
G2,15,0.087,45
G3,75,0.091,45
G4,75,0.092,45
G5,135,0.104,45
G6,195,0.144,45
G7,255,0.264,45
G8,315,0.369,45
G9,375,0.43,45
H1,15,0.089,45
H10,435,0.42,45
H11,495,0.42,45
H12,555,0.421,45
H2,15,0.09,45
H3,75,0.089,45
H4,75,0.093,45
H5,135,0.105,45
H6,195,0.142,45
H7,255,0.239,45
H8,315,0.357,45
H9,375,0.389,45
